"Population census statistics 1987-2010"

"Municipality","Indicator","2000","2010"
"Akaa","Share of population in the highest income decile (%)",5.9,6.0
"Alajärvi","Share of population in the highest income decile (%)",3.0,3.3
"Alavieska","Share of population in the highest income decile (%)",1.7,3.6
"Alavus","Share of population in the highest income decile (%)",3.9,4.1
"Asikkala","Share of population in the highest income decile (%)",8.2,7.3
"Askola","Share of population in the highest income decile (%)",8.4,8.2
"Aura","Share of population in the highest income decile (%)",5.7,5.8
"Brändö","Share of population in the highest income decile (%)",15.0,12.8
"Eckerö","Share of population in the highest income decile (%)",12.3,7.7
"Enonkoski","Share of population in the highest income decile (%)",2.7,3.8
"Enontekiö","Share of population in the highest income decile (%)",3.3,3.9
"Espoo","Share of population in the highest income decile (%)",27.3,24.8
"Eura","Share of population in the highest income decile (%)",7.2,6.5
"Eurajoki","Share of population in the highest income decile (%)",6.7,8.0
"Evijärvi","Share of population in the highest income decile (%)",3.5,4.1
"Finström","Share of population in the highest income decile (%)",14.1,9.9
"Forssa","Share of population in the highest income decile (%)",5.7,5.4
"Föglö","Share of population in the highest income decile (%)",12.3,9.7
"Geta","Share of population in the highest income decile (%)",5.7,5.4
"Haapajärvi","Share of population in the highest income decile (%)",3.2,3.5
"Haapavesi","Share of population in the highest income decile (%)",2.9,3.9
"Hailuoto","Share of population in the highest income decile (%)",5.2,6.5
"Halsua","Share of population in the highest income decile (%)",3.7,5.4
"Hamina","Share of population in the highest income decile (%)",8.0,6.5
"Hammarland","Share of population in the highest income decile (%)",10.3,9.5
"Hankasalmi","Share of population in the highest income decile (%)",3.1,3.2
"Hanko","Share of population in the highest income decile (%)",9.8,9.4
"Harjavalta","Share of population in the highest income decile (%)",7.2,6.1
"Hartola","Share of population in the highest income decile (%)",4.4,5.1
"Hattula","Share of population in the highest income decile (%)",7.7,9.1
"Haukipudas","Share of population in the highest income decile (%)",5.9,6.5
"Hausjärvi","Share of population in the highest income decile (%)",6.8,8.3
"Heinola","Share of population in the highest income decile (%)",7.6,6.4
"Heinävesi","Share of population in the highest income decile (%)",4.3,3.6
"Helsinki","Share of population in the highest income decile (%)",19.7,18.0
"Hirvensalmi","Share of population in the highest income decile (%)",4.0,4.8
"Hollola","Share of population in the highest income decile (%)",8.6,8.3
"Honkajoki","Share of population in the highest income decile (%)",4.9,4.6
"Huittinen","Share of population in the highest income decile (%)",5.4,5.7
"Humppila","Share of population in the highest income decile (%)",3.6,4.1
"Hyrynsalmi","Share of population in the highest income decile (%)",1.9,2.6
"Hyvinkää","Share of population in the highest income decile (%)",10.9,10.9
"Hämeenkoski","Share of population in the highest income decile (%)",4.9,5.4
"Hämeenkyrö","Share of population in the highest income decile (%)",6.2,6.1
