"Population census statistics 1987-2010"

"Municipality","Indicator","2000","2010"
"Akaa","Share of population in the lowest income decile (%)",9.0,7.6
"Alajärvi","Share of population in the lowest income decile (%)",14.1,11.2
"Alavieska","Share of population in the lowest income decile (%)",14.2,12.9
"Alavus","Share of population in the lowest income decile (%)",12.3,10.7
"Asikkala","Share of population in the lowest income decile (%)",9.9,8.7
"Askola","Share of population in the lowest income decile (%)",5.4,5.7
"Aura","Share of population in the lowest income decile (%)",6.5,5.4
"Brändö","Share of population in the lowest income decile (%)",5.3,6.5
"Eckerö","Share of population in the lowest income decile (%)",4.8,5.1
"Enonkoski","Share of population in the lowest income decile (%)",13.8,10.8
"Enontekiö","Share of population in the lowest income decile (%)",16.7,12.1
"Espoo","Share of population in the lowest income decile (%)",6.5,8.5
"Eura","Share of population in the lowest income decile (%)",8.9,7.3
"Eurajoki","Share of population in the lowest income decile (%)",8.8,5.5
"Evijärvi","Share of population in the lowest income decile (%)",8.7,6.9
"Finström","Share of population in the lowest income decile (%)",4.3,3.9
"Forssa","Share of population in the lowest income decile (%)",11.1,10.6
"Föglö","Share of population in the lowest income decile (%)",3.9,5.2
"Geta","Share of population in the lowest income decile (%)",14.6,4.9
"Haapajärvi","Share of population in the lowest income decile (%)",13.8,11.9
"Haapavesi","Share of population in the lowest income decile (%)",17.4,13.7
"Hailuoto","Share of population in the lowest income decile (%)",9.7,7.1
"Halsua","Share of population in the lowest income decile (%)",11.5,6.8
"Hamina","Share of population in the lowest income decile (%)",8.2,8.5
"Hammarland","Share of population in the lowest income decile (%)",3.1,3.9
"Hankasalmi","Share of population in the lowest income decile (%)",13.4,11.4
"Hanko","Share of population in the lowest income decile (%)",7.2,7.5
"Harjavalta","Share of population in the lowest income decile (%)",8.0,9.2
"Hartola","Share of population in the lowest income decile (%)",16.8,13.7
"Hattula","Share of population in the lowest income decile (%)",6.3,5.4
"Haukipudas","Share of population in the lowest income decile (%)",8.9,8.9
"Hausjärvi","Share of population in the lowest income decile (%)",7.3,6.5
"Heinola","Share of population in the lowest income decile (%)",9.8,9.5
"Heinävesi","Share of population in the lowest income decile (%)",12.0,12.5
"Helsinki","Share of population in the lowest income decile (%)",9.5,12.1
"Hirvensalmi","Share of population in the lowest income decile (%)",16.0,12.7
"Hollola","Share of population in the lowest income decile (%)",7.9,7.3
"Honkajoki","Share of population in the lowest income decile (%)",13.7,11.8
"Huittinen","Share of population in the lowest income decile (%)",11.3,11.1
"Humppila","Share of population in the lowest income decile (%)",10.8,8.5
"Hyrynsalmi","Share of population in the lowest income decile (%)",15.8,11.5
"Hyvinkää","Share of population in the lowest income decile (%)",8.2,8.3
"Hämeenkoski","Share of population in the lowest income decile (%)",12.3,7.1
"Hämeenkyrö","Share of population in the lowest income decile (%)",8.9,8.1
"Hämeenlinna","Share of population in the lowest income decile (%)",9.9,8.9
"Ii","Share of population in the lowest income decile (%)",13.0,11.6
"Iisalmi","Share of population in the lowest income decile (%)",12.3,11.1
"Iitti","Share of population in the lowest income decile (%)",11.0,8.1
"Ikaalinen","Share of population in the lowest income decile (%)",11.6,11.0
"Ilmajoki","Share of population in the lowest income decile (%)",9.6,7.5
"Ilomantsi","Share of population in the lowest income decile (%)",14.2,10.9
"Imatra","Share of population in the lowest income decile (%)",9.2,10.4
"Inari","Share of population in the lowest income decile (%)",12.6,10.2
"Inkoo","Share of population in the lowest income decile (%)",7.1,5.6
"Isojoki","Share of population in the lowest income decile (%)",14.0,11.1
"Isokyrö","Share of population in the lowest income decile (%)",10.3,9.1
"Jalasjärvi","Share of population in the lowest income decile (%)",10.5,7.6
"Janakkala","Share of population in the lowest income decile (%)",7.6,6.2
"Joensuu","Share of population in the lowest income decile (%)",15.8,16.6
"Jokioinen","Share of population in the lowest income decile (%)",5.6,7.7
"Jomala","Share of population in the lowest income decile (%)",2.1,3.4
"Joroinen","Share of population in the lowest income decile (%)",10.9,9.6
"Joutsa","Share of population in the lowest income decile (%)",14.8,10.4
"Juankoski","Share of population in the lowest income decile (%)",12.4,10.0
"Juuka","Share of population in the lowest income decile (%)",16.6,14.6
"Juupajoki","Share of population in the lowest income decile (%)",9.9,7.9
"Juva","Share of population in the lowest income decile (%)",12.3,9.8
"Jyväskylä","Share of population in the lowest income decile (%)",13.1,14.2
"Jämijärvi","Share of population in the lowest income decile (%)",11.7,10.8
"Jämsä","Share of population in the lowest income decile (%)",10.1,9.1
"Järvenpää","Share of population in the lowest income decile (%)",7.1,7.1
"Kaarina","Share of population in the lowest income decile (%)",6.1,5.3
"Kaavi","Share of population in the lowest income decile (%)",19.6,14.9
"Kajaani","Share of population in the lowest income decile (%)",11.9,11.8
"Kalajoki","Share of population in the lowest income decile (%)",10.9,8.7
"Kangasala","Share of population in the lowest income decile (%)",6.8,5.7
"Kangasniemi","Share of population in the lowest income decile (%)",14.8,11.9
"Kankaanpää","Share of population in the lowest income decile (%)",13.2,11.6
"Kannonkoski","Share of population in the lowest income decile (%)",14.7,10.9
"Kannus","Share of population in the lowest income decile (%)",8.7,8.6
"Karijoki","Share of population in the lowest income decile (%)",11.9,10.6
"Karjalohja","Share of population in the lowest income decile (%)",9.2,8.2
"Karkkila","Share of population in the lowest income decile (%)",7.8,7.6
"Karstula","Share of population in the lowest income decile (%)",13.3,9.6
"Karvia","Share of population in the lowest income decile (%)",15.4,10.3
"Kaskinen","Share of population in the lowest income decile (%)",5.2,5.1
"Kauhajoki","Share of population in the lowest income decile (%)",14.4,12.3
"Kauhava","Share of population in the lowest income decile (%)",9.9,7.2
"Kauniainen","Share of population in the lowest income decile (%)",3.9,4.8
"Kaustinen","Share of population in the lowest income decile (%)",9.8,6.7
"Keitele","Share of population in the lowest income decile (%)",11.3,10.4
